Titel,Verantwortung,Ausgabe,Impressum,Erscheinungsjahr,Format,Erscheinungsrhythmus,Zählung,Kartografische Angabe,Musikalische Ausgabeform,Musikbesetzung,Hochschulschrift,Serie,Sprache,Originalsprache,Rätoromanische Idiome,Originaltitel,Werktitel,Anderer Titel,Enthält,Andere Ausgabeform,Verknüpfte Titel,Thema,Genre/Publikationsform,Bündner Basisklassifikation,Dezimalklassifikation,Bündner Bibliografie,Klassifikation AFW,Klassifikation BGS,Klassifikation GBC,Klassifikation KBM,Klassifikation Landesschriften,Klassifikation PDB,Raetica,Mitwirkende,Weitere Beteiligte,"Darsteller/-innen, <br>Interpret/-innen",Anmerkungen,Anmerkungen zur Provenienz,Ist Teil von,Kennung,Gebunden mit,Normeintrag in der GND,Permalink
"Mediomatix, 1. classa s-chalin secundar 1, lingua: vallader","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziun,"Cuoira : Meds d'instrucziun dal Grischun",2020,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Vallader,,,,,,,Schuljahr 7; Unterengadinisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ",,,"Supplement: licenzas d'ütilisaziun format digital (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-035-9,," Schuljahr 7;  Unterengadinisch;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-;  Lutz, Irina;  Pädagogische Hochschule Graubünden",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007112650206696
"Mediomatix, 1. classa s-chelin secundar 1, lingua: puter","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziun,"Cuira : Meds d'instrucziun dal Grischun",2020,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Puter,,,,,,,Oberengadinisch; Schuljahr 7,Lehrmittel,18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ",,,"Supplement: licenzas d'ütilisaziun format digitel (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-034-2 - Cudeschs da lavur 1-4,," Oberengadinisch;  Schuljahr 7;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-;  Lutz, Irina;  Pädagogische Hochschule Graubünden",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007112690206696
"Mediomatix, 1. classa scalem secundar 1, lungatg: sursilvan","direcziun dil project: Scola auta da pedagogia dal Grischun (SAPGR) ; meinaproject e redacziun: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziun,"Cuera : Meds d'instrucziun dal Grischun",2020,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sursilvan,,,,,,,Schuljahr 7; Surselvisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ",,,"Supplement: licenzias d'utilisaziun format digital (cudischs da lavur, commentari per scolastas e scolasts)",,,ISBN : 978-3-03847-032-8 - Cudisch da lavur 1-4,," Schuljahr 7;  Surselvisch;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-;  Lutz, Irina;  Pädagogische Hochschule Graubünden",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007112700206696
"Mediomatix, 1. classa scalem secundar 1, lungatg: sutsilvan","direcziùn digl project: Scola auta da pedagogia dal Grischun (SAPGR) ; magnaproject e redacziùn: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziùn,"Cuira : Meds d'instrucziun dal Grischun",2020,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sutsilvan,,,,,,,Schuljahr 7; Sutselvisch,Lehrmittel,18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ",,,"Supplement: licenzas d'utilisaziùn format digital (cudeschs da lavur, commentari par surmestras e surmesters)",,,ISBN : 978-3-03847-033-5 - Cudesch da lavur 1-4,," Schuljahr 7;  Sutselvisch;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-;  Lutz, Irina;  Pädagogische Hochschule Graubünden",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007112660206696
"Mediomatix, 2. classa s-chalin secundar 1, lingua: vallader","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziun,"Cuoira : Meds d'instrucziun dal Grischun",2019,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Vallader,,,,,,,Schuljahr 8; Unterengadinisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ",,,"Supplement: licenzas d'ütilisaziun format digital (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-039-7,," Schuljahr 8;  Unterengadinisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007015710206696
"Mediomatix, 2. classa s-chelin secundar 1, lungatg: puter","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziun,"Cuira : Meds d'instrucziun dal Grischun",2019,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Puter,,,,,,,Oberengadinisch; Schuljahr 8,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ",,,"Supplement: licenzas d'ütilisaziun format digitel (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-038-0,," Oberengadinisch;  Schuljahr 8;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007015590206696
"Mediomatix, 2. classa scalem secundar 1, lungatg: sursilvan","direcziun dil project: Scola auta da pedagogia dal Grischun (SAPGR) ; meinaproject e redacziun: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziun,"Cuera : Meds d'instrucziun dal Grischun",2019,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sursilvan,,,,,,,Schuljahr 8; Surselvisch,Lehrmittel,18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ",,,"Supplement: licenzias d'utilisaziun format digital (cudischs da lavur, commentari per scolastas e scolasts)",,,ISBN : 978-3-03847-036-6,," Schuljahr 8;  Surselvisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007015660206696
"Mediomatix, 2. classa scalem secundar 1, lungatg: sutsilvan","direcziùn digl project: Scola auta da pedagogia dal Grischun (SAPGR) ; magnaproject a redacziùn: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziùn,"Cuira : Meds d'instrucziun dal Grischun",2019,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sutsilvan,,,,,,,Schuljahr 8; Sutselvisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ",,,"Supplement: lizenzas d'utilisaziùn format digital (cudeschs da lavur, comentari par surmestras a surmesters)",,,ISBN : 978-3-03847-037-3,," Schuljahr 8;  Sutselvisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007015630206696
"Mediomatix, 2. classa, lungatg: puter","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziun,"Cuira : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Puter,,,,,,,Oberengadinisch; Schuljahr 2,Lehrmittel,17.41 Sprachdidaktik; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 18.39 Romanische Sprachen und Literaturen: Sonstiges,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplement: licenzas d'ütilisaziun format digitel (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-014-4,," Oberengadinisch;  Schuljahr 2;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006896830206696
"Mediomatix, 2. classa, lungatg: sursilvan","direcziun dal project: Scola auta da pedagogia dal Grischun (SAPGR) ; meinaproject e redacziun: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziun,"Cuera : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sursilvan,,,,,,,Schuljahr 2; Surselvisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplements: licenzias d'utilisaziun format digital (cudischs da lavur, commentari per scolastas e scolasts)",,,ISBN : 978-3-03847-012-0,," Schuljahr 2;  Surselvisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006896790206696
"Mediomatix, 2. classa, lungatg: sutsilvan","direcziùn digl project: Scola òlta da pedagogeia digl Grischùn (SAPGR) ; magnaproject a redacziùn: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziùn,"Cuira : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sutsilvan,,,,,,,Schuljahr 2; Sutselvisch,Lehrmittel,18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplement: lizenzas d'utilisatiùn format digital (cudeschs da lavur e comentari par surmestras a surmesters)",,,ISBN : 978-3-03847-013-7,," Schuljahr 2;  Sutselvisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006896810206696
"Mediomatix, 2. classa, lungatg: vallader","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziun,"Cuoira : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Vallader,,,,,,,Schuljahr 2; Unterengadinisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplement: licenzas d'ütilisaziun format digital (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-015-1,," Schuljahr 2;  Unterengadinisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006896860206696
"Mediomatix, 3. classa s-chalin secundar 1, lungatg: vallader","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziun,"Cuoira : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Vallader,,,,,,,Schuljahr 9; Unterengadinisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplement: licenzas d'ütilisaziun format digital (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-043-4,," Schuljahr 9;  Unterengadinisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006897040206696
"Mediomatix, 3. classa s-chelin secundar 1, lungatg: puter","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziun,"Cuira : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Puter,,,,,,,Oberengadinisch; Schuljahr 9,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplement: licenzas d'ütilisaziun format digitel (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-042-7,," Oberengadinisch;  Schuljahr 9;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006896870206696
"Mediomatix, 3. classa scalem secundar 1, lungatg: sursilvan","direcziun dal project: Scola auta da pedagogia dal Grischun (SAPGR) ; meinaproject e redacziun: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziun,"Cuera : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sursilvan,,,,,,,Schuljahr 9; Surselvisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplement: licenzias d'utilisaziun format digital (cudischs da lavur, commentari per scolastas e scolasts)",,,ISBN : 978-3-03847-040-3,," Schuljahr 9;  Surselvisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006897030206696
"Mediomatix, 3. classa scalem secundar 1, lungatg: sutsilvan","direcziùn digl project: Scola òlta da pedagogeia digl Grischùn (SAPGR) ; magnaproject a redacziùn: Rico Cathomas, Irina Lutz, Annalisa Cathomas, Manfred Gross",1. ediziùn,"Cuira : Meds d'instrucziun dal Grischun",2018,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Sutsilvan,,,,,,,Schuljahr 9; Sutselvisch,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 17.41 Sprachdidaktik; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ",,,"Supplement: lizenzas d'utilisaziùn format digital (cudeschs da lavur e comentari par surmestras a surmesters)",,,ISBN : 978-3-03847-041-0,," Schuljahr 9;  Sutselvisch;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990006897020206696
"Mediomatix, 3. classa, lingua puter","direcziun dal proget: Scola auta da pedagogia dal Grischun (SAPGR) ; mainaproget e redacziun: Rico Cathomas, Annalisa Cathomas, Manfred Gross, Irina Lutz",1. ediziun,"Cuira : Meds d'instrucziun dal Grischun",2019,4 volums : illustraziuns ; 30 cm + 2 supplements,,,,,,,,Rätoromanisch,,Puter,,,,,,,Oberengadinisch; Schuljahr 3,Lehrmittel,18.39 Romanische Sprachen und Literaturen: Sonstiges; 18.39.41 Romanische Sprachen und Literaturen: Sonstiges: Sprachdidaktik; 17.41 Sprachdidaktik,,"08.2 Sprache, Mundart",,,,,,,Bündner Bibliografie; Rätoromanische Bibliografie; Erscheinungsort Graubünden; Raetica; Bündner Autor; Bündner Organisation,"Pädagogische Hochschule Graubünden (Herausgebendes Organ)  ; Cathomas, Rico, 1967- (Herausgeber)  ; Cathomas, Annalisa, 1975- (Herausgeber)  ; Gross, Manfred, 1957- (Herausgeber)  ; Lutz, Irina (Herausgeber)  ",,,"Supplement: licenzas d'ütilisaziun format digitel (cudeschs da lavur, commentar per magisters)",,,ISBN : 978-3-03847-018-2,," Oberengadinisch;  Schuljahr 3;  Pädagogische Hochschule Graubünden;  Cathomas, Rico 1967-;  Cathomas, Annalisa 1975-;  Gross, Manfred 1957-;  Lutz, Irina",https://www.opac.gr.ch/permalink/41BGR_INST/44cnm/alma990007015160206696
